dataset,feature_set,method,k_per_class,seed,macro_f1,n_train,n_test
so2sat,physics8,RandomForest,5,12,0.2657068918191031,85,1715
so2sat,physics8,SG-BSCM,5,13,0.2782200575846582,85,1715
so2sat,physics8,BSCM-uniform,5,13,0.28367544015717916,85,1715
so2sat,physics8,SRQFM-fid,5,13,0.24236328900768378,85,1715
so2sat,physics8,RBF-SVM,5,13,0.3110746783222301,85,1715
so2sat,physics8,RandomForest,5,13,0.28028506536604253,85,1715
so2sat,physics8,SG-BSCM,5,14,0.28802775814480036,85,1715
so2sat,physics8,BSCM-uniform,5,14,0.2762887335744341,85,1715
so2sat,physics8,SRQFM-fid,5,14,0.2612090172850569,85,1715
so2sat,physics8,RBF-SVM,5,14,0.2910960361228206,85,1715
so2sat,physics8,RandomForest,5,14,0.26941269217703,85,1715
so2sat,physics8,SG-BSCM,5,15,0.2858445142162398,85,1715
so2sat,physics8,BSCM-uniform,5,15,0.3061626242162379,85,1715
so2sat,physics8,SRQFM-fid,5,15,0.26954643608629286,85,1715
so2sat,physics8,RBF-SVM,5,15,0.2932361429741177,85,1715
so2sat,physics8,RandomForest,5,15,0.2825736805810557,85,1715
so2sat,physics8,SG-BSCM,5,16,0.29380235428913837,85,1715
so2sat,physics8,BSCM-uniform,5,16,0.2834071874641451,85,1715
so2sat,physics8,SRQFM-fid,5,16,0.26840432853982965,85,1715
so2sat,physics8,RBF-SVM,5,16,0.28290580725661285,85,1715
so2sat,physics8,RandomForest,5,16,0.2663069944353646,85,1715
so2sat,physics8,SG-BSCM,5,17,0.3038446365176142,85,1715
so2sat,physics8,BSCM-uniform,5,17,0.2762929674511471,85,1715
so2sat,physics8,SRQFM-fid,5,17,0.2604368868892325,85,1715
so2sat,physics8,RBF-SVM,5,17,0.29871658601242457,85,1715
so2sat,physics8,RandomForest,5,17,0.28800172851549594,85,1715
so2sat,physics8,SG-BSCM,5,18,0.32817856211031105,85,1715
so2sat,physics8,BSCM-uniform,5,18,0.3242523295875037,85,1715
so2sat,physics8,SRQFM-fid,5,18,0.29309484957750115,85,1715
so2sat,physics8,RBF-SVM,5,18,0.3151203191445308,85,1715
so2sat,physics8,RandomForest,5,18,0.31796981312766043,85,1715
so2sat,physics8,SG-BSCM,5,19,0.3242519784204207,85,1715
so2sat,physics8,BSCM-uniform,5,19,0.3175545743337086,85,1715
so2sat,physics8,SRQFM-fid,5,19,0.29246276315678615,85,1715
so2sat,physics8,RBF-SVM,5,19,0.3172245029786657,85,1715
so2sat,physics8,RandomForest,5,19,0.28636244471744554,85,1715
so2sat,pca8,SG-BSCM,2,0,0.11692394205519946,34,1766
so2sat,pca8,BSCM-uniform,2,0,0.11985974362698547,34,1766
so2sat,pca8,SRQFM-fid,2,0,0.11707116232539627,34,1766
so2sat,pca8,RBF-SVM,2,0,0.12314853696209754,34,1766
so2sat,pca8,RandomForest,2,0,0.13859099932647148,34,1766
so2sat,pca8,SG-BSCM,2,1,0.1085716673279317,34,1766
so2sat,pca8,BSCM-uniform,2,1,0.10711686364405038,34,1766
so2sat,pca8,SRQFM-fid,2,1,0.10386739459202983,34,1766
so2sat,pca8,RBF-SVM,2,1,0.10700738515337718,34,1766
so2sat,pca8,RandomForest,2,1,0.1169515729726194,34,1766
so2sat,pca8,SG-BSCM,2,2,0.12808951302553706,34,1766
so2sat,pca8,BSCM-uniform,2,2,0.11959423175214831,34,1766
so2sat,pca8,SRQFM-fid,2,2,0.12644677967653917,34,1766
so2sat,pca8,RBF-SVM,2,2,0.1219050381625799,34,1766
so2sat,pca8,RandomForest,2,2,0.14055133213679155,34,1766
so2sat,pca8,SG-BSCM,2,3,0.14749536118937007,34,1766
so2sat,pca8,BSCM-uniform,2,3,0.1452303697510843,34,1766
